lat,lon,timezone,timezone_offset,data,City
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697202000, 'sunrise': 1697175033, 'sunset': 1697215735, 'temp': 26.83, 'feels_like': 28.14, 'pressure': 1021, 'humidity': 64, 'dew_point': 19.45, 'clouds': 0, 'visibility': 10000, 'wind_speed': 4.63, 'wind_deg': 150, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}]",Cagliari
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697205600, 'sunrise': 1697175033, 'sunset': 1697215735, 'temp': 26.83, 'feels_like': 27.74, 'pressure': 1021, 'humidity': 58, 'dew_point': 17.88, 'clouds': 0, 'visibility': 10000, 'wind_speed': 5.66, 'wind_deg': 150, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}]",Cagliari
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697209200, 'sunrise': 1697175033, 'sunset': 1697215735, 'temp': 25.86, 'feels_like': 26.25, 'pressure': 1020, 'humidity': 67, 'dew_point': 19.27, 'clouds': 0, 'visibility': 10000, 'wind_speed': 5.66, 'wind_deg': 150, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}]",Cagliari
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697212800, 'sunrise': 1697175033, 'sunset': 1697215735, 'temp': 25.2, 'feels_like': 25.55, 'pressure': 1020, 'humidity': 68, 'dew_point': 18.88, 'clouds': 0, 'visibility': 10000, 'wind_speed': 4.63, 'wind_deg': 150, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}]",Cagliari
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697216400, 'sunrise': 1697175033, 'sunset': 1697215735, 'temp': 24.25, 'feels_like': 24.58, 'pressure': 1020, 'humidity': 71, 'dew_point': 18.66, 'clouds': 0, 'visibility': 10000, 'wind_speed': 3.6, 'wind_deg': 150, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]}]",Cagliari
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697220000, 'sunrise': 1697175033, 'sunset': 1697215735, 'temp': 23.57, 'feels_like': 23.94, 'pressure': 1021, 'humidity': 75, 'dew_point': 18.88, 'clouds': 0, 'visibility': 10000, 'wind_speed': 3.6, 'wind_deg': 140, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]}]",Cagliari
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697223600, 'sunrise': 1697175033, 'sunset': 1697215735, 'temp': 23.14, 'feels_like': 23.6, 'pressure': 1021, 'humidity': 80, 'dew_point': 19.5, 'clouds': 0, 'visibility': 10000, 'wind_speed': 3.6, 'wind_deg': 140, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]}]",Cagliari
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697227200, 'sunrise': 1697175033, 'sunset': 1697215735, 'temp': 22.36, 'feels_like': 22.64, 'pressure': 1021, 'humidity': 76, 'dew_point': 17.93, 'clouds': 0, 'visibility': 10000, 'wind_speed': 3.09, 'wind_deg': 120, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]}]",Cagliari
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697230800, 'sunrise': 1697175033, 'sunset': 1697215735, 'temp': 21.94, 'feels_like': 22.12, 'pressure': 1021, 'humidity': 74, 'dew_point': 17.1, 'clouds': 0, 'visibility': 10000, 'wind_speed': 2.57, 'wind_deg': 140, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]}]",Cagliari
39.2278,9.1111,Europe/Rome,7200,"[{'dt': 1697234400, 'sunrise': 1697261493, 'sunset': 1697302046, 'temp': 21.28, 'feels_like': 21.37, 'pressure': 1021, 'humidity': 73, 'dew_point': 16.25, 'clouds': 20, 'visibility': 10000, 'wind_speed': 3.09, 'wind_deg': 130, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]}]",Cagliari
